corpus_canonical_name,tree_benefit_name,match_type,score,corpus_total_mentions,corpus_matched_part
Home Health Care Services,Home health care,fuzzy_suffix_stripped,100.0,14,Home Health Care
Outpatient Hospital Services,Outpatient hospital,fuzzy_suffix_stripped,100.0,14,Outpatient Hospital
Long-Term Acute Care Hospital Services,Long-term acute care hospital,fuzzy_suffix_stripped,100.0,14,Long-Term Acute Care Hospital
Diagnostic Radiology Services,Diagnostic radiology,fuzzy_suffix_stripped,100.0,14,Diagnostic Radiology
Skilled Nursing Facility Services,Skilled nursing facility,fuzzy_suffix_stripped,100.0,14,Skilled Nursing Facility
Urgent Care Services,0456 - Urgent Care,fuzzy_suffix_stripped,100.0,14,Urgent Care
"Self-administered, over-the-counter drugs",Over-the-counter medications and supplies,llm_semantic,80,14,
Anesthesiology Services,Anesthesia professional services,llm_semantic,95,14,
Behavioral Health Services (Mental Health and Substance Use Disorder),Behavioral health services,llm_semantic,95,14,
Electroconvulsive Therapy (ECT),Therapeutic electroshock therapy,llm_semantic,95,14,
Psychiatric Partial Hospitalization Program (PHP),Psychiatric partial hospitalization,llm_semantic,95,14,
Chiropractic office visits,Chiropractic services,llm_semantic,80,14,
Clinical Trials (Routine Patient Costs),Clinical trial,llm_semantic,80,14,
Emergency Treatment,Emergency treatment/First aid,llm_semantic,95,14,
Embryo transfer to member within one year from cryopreservation,Embryo transfer procedures,llm_semantic,80,14,
Custodial or nonskilled care,Custodial care,llm_semantic,95,14,
Hospice Care Services,Hospice services,llm_semantic,95,14,
Up to eight hours of routine home care per day,0651 - Routine home care,llm_semantic,95,14,
Physician services by a member of the hospice interdisciplinary team,0657 - Hospice physician services,llm_semantic,95,14,
"Medical social services by a licensed social worker, provided under the direction of a physician",0984 - Professional charges for medical social services,llm_semantic,95,14,
"Lamaze, parenting or other similar classes.",Training and educational classes for various topics,llm_semantic,80,14,
Medical Supplies,Medical/surgical supplies,llm_semantic,95,14,
Outpatient Diabetes Management Program (ODMP),Diabetes Management,llm_semantic,80,14,
Pain Management,Pain management services,llm_semantic,95,14,
Prescription Drugs,Prescription drug program,llm_semantic,80,14,
Test strips for glucometer,Test Strips,llm_semantic,95,14,
Test strips and lancets,Test Strips,llm_semantic,80,14,
Routine Gynecological Examination,Gynecological exam,llm_semantic,95,14,
Tobacco Cessation Programs,Smoking cessation counseling,llm_semantic,80,14,
"A semiprivate room, including general nursing service, meals and special diets","0121 - Room and board for semi-private medical, surgical, gynecological two bed room",llm_semantic,80,14,
Special treatment rooms,0761 - Specialty Services - Treatment Room,llm_semantic,80,14,
Physician services (up to two visits per week),0696 - Physician services,llm_semantic,80,14,
Care for substance use disorder,Substance abuse,llm_semantic,80,14,
Use of ambulatory surgery facility,0490 - Ambulatory Surgery Facility Charges General Classification,llm_semantic,95,14,
Services by a nonparticipating ambulatory surgery facility,Ambulatory surgical services,llm_semantic,80,14,
Bone marrow (described below),Bone Marrow or Stem Cell Services/Procedures,llm_semantic,80,14,
Laboratory services,Laboratory services,exact,100,13,
Diversional therapy,Diversional therapy,exact,100,13,
Acupuncture,2101 - Acupuncture,exact,100,13,
Acupuncture,Acupuncture,exact,100,13,
Air Ambulance,0545 - Air Ambulance,exact,100,13,
Ambulatory Surgery,Ambulatory surgery,exact,100,13,
Chiropractic Services,Chiropractic services,exact,100,13,
Electroencephalogram (EEG),EEG (Electroencephalogram),fuzzy,100.0,13,
Arthrocentesis,Athrocentesis,fuzzy,96.2962962962963,13,
Case Management,Case Managment,fuzzy,96.55172413793103,13,
A partial hospitalization program described in the PHP section of this document,Psychiatric partial hospitalization,llm_semantic,80,13,
Physical therapists,Physical therapy,llm_semantic,95,13,
Electrocardiogram (EKG),Electrocardiography (EKG/ECG),llm_semantic,95,13,
Pulmonary function studies,Pulmonary function testing,llm_semantic,95,13,
Electromyogram (EMG),0922 - Electromyelgram,llm_semantic,95,13,
Routine Flexible Sigmoidoscopy Examination,Flexible sigmoidoscopy,llm_semantic,95,13,
24/7 Virtual Visit,Online Visits,llm_semantic,80,13,
Alternative Medicines,Alternative therapy services,llm_semantic,80,13,
Certified Registered Nurse Anesthetist,0964 - Anesthetist (CRNA) professional charges,llm_semantic,95,13,
Allergy immunotherapy by injection (allergy shots),Allergen Immunotherapy,llm_semantic,95,12,
Psychiatric Intensive Outpatient Program (IOP),0905 - Intensive Outpatient Services - Psychiatric,llm_semantic,95,12,
Contraceptive Medication,Contraceptive drugs non-NHCR/PPACA,llm_semantic,80,12,
Fecal Occult Blood Screening,Fecal occult blood screening,exact,100,11,
An office consultation with a specialist,Office or Other Outpatient Consultations,llm_semantic,80,11,
Routine Laboratory Services,Laboratory services,llm_semantic,80,11,
X-rays,Diagnostic X-ray,llm_semantic,95,11,
Ultrasound,Diagnostic ultrasound,llm_semantic,80,11,
Magnetic resonance imaging (MRI),Diagnostic magnetic resonance imaging,llm_semantic,95,11,
Positron emission tomography (PET) scans,0404 - Positron Emission Tomography,llm_semantic,95,11,
Blood tests on first degree relatives to evaluate them as donors,Blood tests to evaluate bone marrow donor,llm_semantic,80,11,
Covered services and devices for pain management,Pain management services,llm_semantic,95,11,
Routine Pap Smear,Pap smear,llm_semantic,95,10,
Screening Mammography,"Mammogram, screening",llm_semantic,95,10,
A certified registered nurse anesthetist (CRNA),0964 - Anesthetist (CRNA) professional charges,llm_semantic,95,10,
Assessments,0583 - Assessment,exact,100,9,
EKGs,EKG,exact,100,9,
Birthing center,0724 - Birthing center,exact,100,9,
An office consultation,Office or Other Outpatient Consultations,llm_semantic,95,9,
Inhalation therapy,Inhalation services,llm_semantic,95,9,
Electroconvulsive Treatment (ECT),0901 - Electroshock Treatment,llm_semantic,95,9,
Pulmonary function evaluation,Pulmonary function testing,llm_semantic,95,9,
Hyperbaric oxygenation (therapy given in a pressure chamber),0413 - Hyperbaric Oxygen Therapy,llm_semantic,95,9,
Cosmetic Drugs,Cosmetic drugs,exact,100,8,
Eye Exam,Vision exam,llm_semantic,95,8,
Lenticular aspheric myodisc,Lenticular aspheric myodisc lense,fuzzy,91.52542372881356,7,
Lenticular aspheric aphakic,Lenticular aspheric aphakic lense,fuzzy,91.52542372881356,7,
Aphakic,Aphakic lense,llm_semantic,95,7,
Lenticular aphakic,Lenticular aphakic lense,llm_semantic,95,7,
"A primary care physician office, home, online, virtual or outpatient visit","Office, outpatient and home medical care visits",llm_semantic,80,7,
Blood tests to evaluate donors (if not covered by t he potential donor’s insurance),Blood tests to evaluate bone marrow donor,llm_semantic,80,7,
Lancets,Lancets,exact,100,6,
Insulin,Insulin,exact,100,6,
Chemical profile,Chemical profile,exact,100,6,
Cholesterol testing,Cholesterol testing,exact,100,6,
Test strips for glucose monitors,Test Strips,llm_semantic,95,6,
Syringes,Needles and Syringes,llm_semantic,80,6,
Medical supplies required for the use of an insulin pump,Miscellaneous Medical supplies for Diabetes Management,llm_semantic,80,6,
Any covered drug entirely consumed at the time and place of the prescription,Covered drug entirely consumed at the time and place of prescription,fuzzy,94.20289855072464,5,
Myodisc,Myodisc lense,llm_semantic,95,5,
Lenticular myodisc,Lenticular myodisc lense,llm_semantic,95,5,
Blood tests to evaluate donors (if not covered by the potential donor’s insurance),Blood tests to evaluate bone marrow donor,llm_semantic,80,5,
Bone Marrow Transplants,Bone marrow transplantation,llm_semantic,95,5,
Lenses,Lens,exact,100,4,
Contact Lenses,Contact lenses,exact,100,4,
Ophthalmoscopy,Ophthalmoscopy,exact,100,4,
HPV screening,HPV Screening,exact,100,4,
Infusion pumps,0261 - Infusion Pump,exact,100,4,
Class III – Major Services,Class III Major Services,exact,100,4,
Complete dentures,Complete Denture,exact,100,4,
For bone marrow transplants,Bone marrow transplant donor,fuzzy,92.5925925925926,4,
Ophthalmoscopic examinations,Ophthalmoscopy,llm_semantic,95,4,
Tonometry (test for glaucoma) when indicated,Glaucoma Screening,llm_semantic,80,4,
Frames,Eyeglass frames,llm_semantic,95,4,
Broken or Lost Lenses or Frames,Replacement of lenses or frames,llm_semantic,80,4,
Coating/Laminating,Coating or laminating of lenses,llm_semantic,95,4,
Accidental Dental Injury,Dental care related to accidental injuries,llm_semantic,95,4,
Cosmetic Surgery,Cosmetic procedures,llm_semantic,80,4,
Certified Nurse Anesthetist (CRNA),0964 - Anesthetist (CRNA) professional charges,llm_semantic,95,4,
HIV counseling and screening,AIDS/HIV Screening,llm_semantic,95,4,
Emergency palliative treatment,Palliative dental treatments,llm_semantic,95,4,
Aphakic Lenses,Aphakic lense,exact,100,3,
Blended Lenses,Blended lense,exact,100,3,
Rhinoplasty,Rhinoplasty,exact,100,3,
Second opinion — a consultation to confirm the need for surgery,Second Opinion Program for Consultation of Elective Surgery,llm_semantic,95,3,
Surgical treatment of male gynecomastia,Mastectomy for gynecomastia,llm_semantic,95,3,
Fluoride treatments,Topical fluoride treatment,llm_semantic,95,3,
Contraceptive Injections,Contraceptive injections,exact,100,2,
Progressive lenses,Progressive Lens,exact,100,2,
Medically Necessary,Medically Necessary,exact,100,2,
Medications,Medication,exact,100,2,
Medications,Medications,exact,100,2,
Dental sealants,Dental sealant,exact,100,2,
Class I ‐ Diagnostic and Preventive Services,Class I Diagnostic and Preventive Services,exact,100,2,
Cosmetic Lenses/Processes,Cosmetic lenses or processes,fuzzy,93.33333333333333,2,
Diagnostic tests and laboratory examinations,Diagnostic tests and lab examinations,fuzzy,90.9090909090909,2,
"A primary care physician office, home, virtual or outpatient visit","Office, outpatient and home medical care visits",llm_semantic,80,2,
Class I – Diagnostic and Preventive Services,Class I Diagnostic and Preventive Services,llm_semantic,95,2,
Oral examinations/evaluations,Oral Exams and Evaluations,llm_semantic,95,2,
Prophylaxes,Dental prophylaxis,llm_semantic,95,2,
Oral brush biopsy sample collection,Oral Brush Biopsy,llm_semantic,95,2,
Full-mouth and panoramic radiographs (X ‐ rays),Dental radiographs,llm_semantic,95,2,
Basic prosthodontic services,Basic Prosthodontic Services (Type A),llm_semantic,95,2,
"Adjustments, repairs, relines, rebases and tissue conditioning for prosthodontic appliances","Repairs, adjustments, rebasing or relining of dentures or bridges",llm_semantic,95,2,
Recementation of fixed bridges,Recementing Crowns and Bridges,llm_semantic,80,2,
Abutment,Abutment - Other,llm_semantic,80,2,
Photochromatic lenses,Photochromic lenses,fuzzy,94.44444444444444,1,
"Physical therapy, speech language therapy services, and occupational therapy when provided to control symptoms and maintain the member’s daily activities and basic functional skills","Physical therapy, occupational therapy and speech therapy",llm_semantic,80,1,
Certified Nurse Anesthetist,0964 - Anesthetist (CRNA) professional charges,llm_semantic,95,1,
Contact lenses every 12 months,Contact lenses,llm_semantic,95,1,
$150 elective contact lenses,Not medically necessary contact lenses,llm_semantic,80,1,
Blood tests on first degree relatives to evaluate them as donors Search of the National Bone,Blood tests to evaluate bone marrow donor,llm_semantic,80,1,
Photochromatic glass lenses,Photochromic lenses,llm_semantic,95,1,
Plastic photosensitive lenses (Transitions®),Photosensitive lenses,llm_semantic,95,1,
